scene,seed,allocator,fraction,frame,final,rays_fired,returns,rays_per_frame,ray_accounting,candidates_flagged,achieved_fraction,ms_per_frame,elev_mae,elev_rmse,elev_p95,n_compared,n_gt_cells,coverage_recall,coverage,n_extra,trav_precision,trav_recall,trav_f1,unsafe_rate,unknown_on_hazard,n_hazard_cells,n_free_cells,free_coverage,negative_detected,negative_unknown,negative_missed_unsafe,n_negative_cells,positive_detected,positive_unknown,positive_missed_unsafe,n_positive_cells,corridor_negative_detected,corridor_negative_missed_unsafe,n_corridor_negative,corridor_positive_detected,corridor_positive_missed_unsafe,n_corridor_positive
offroad_course,7,full,1.0,0,False,65536,31268,65536.0,True,0,1.0,35.428769000020566,0.005668910326317293,0.059218571076596095,0.004600929704882153,6955,92419,0.07525508823943129,0.02782,0,1.0,0.0019664196036908183,0.00392512077294686,0.013311148086522463,0.9847224323097867,6611,243389,0.02782,0.0,1.0,0.0,4858,0.18571428571428572,0.7285714285714285,0.08571428571428572,70,0.0,0.0,1347,0.18181818181818182,0.09090909090909091,66
offroad_course,7,uniform,0.02,0,False,1280,640,1280.0,True,0,0.01953125,15.178049000013516,0.002553682393007396,0.018040263030158453,0.004607095343417966,561,92419,0.006070180374165486,0.002244,0,,0.0,,0.0007563152321887763,0.9992436847678112,6611,243389,0.002244,0.0,1.0,0.0,4858,0.0,0.9714285714285714,0.02857142857142857,70,0.0,0.0,1347,0.0,0.030303030303030304,66
offroad_course,7,uniform,0.05,0,False,3280,1640,3280.0,True,0,0.050048828125,18.665369000018472,0.0021743944144370377,0.014825279452262094,0.004574044754251608,1158,92419,0.01252989103972127,0.004632,0,,0.0,,0.0010588413250642867,0.9989411586749357,6611,243389,0.004632,0.0,1.0,0.0,4858,0.0,0.9714285714285714,0.02857142857142857,70,0.0,0.0,1347,0.0,0.030303030303030304,66
offroad_course,7,uniform,0.1,0,False,5632,2697,5632.0,True,0,0.0859375,20.147841000010658,0.0015202528066632513,0.0021814306185084795,0.004504985146305373,1677,92419,0.01814561940726474,0.006708,0,,0.0,,0.0,1.0,6611,243389,0.006708,0.0,1.0,0.0,4858,0.0,1.0,0.0,70,0.0,0.0,1347,0.0,0.0,66
offroad_course,7,uniform,0.2,0,False,10944,5312,10944.0,True,0,0.1669921875,25.213245000003326,0.002078541313497324,0.014237282629371769,0.0046502770133111,2725,92419,0.02948527900107121,0.0109,0,,0.0,,0.003932839207381637,0.9960671607926184,6611,243389,0.0109,0.0,1.0,0.0,4858,0.0,0.9428571428571428,0.05714285714285714,70,0.0,0.0,1347,0.0,0.06060606060606061,66
offroad_course,7,front_roi,0.02,0,False,1231,601,1231.0,True,0,0.0187835693359375,12.50215000001731,0.0016172272269094731,0.0021455023745987306,0.004568265644385888,433,92419,0.004685183782555535,0.001732,0,,0.0,,0.0,1.0,6611,243389,0.001732,0.0,1.0,0.0,4858,0.0,1.0,0.0,70,0.0,0.0,1347,0.0,0.0,66
offroad_course,7,front_roi,0.05,0,False,2512,1199,2512.0,True,0,0.038330078125,13.35725699999557,0.004070808773555472,0.026737109057139365,0.0047939814226735915,738,92419,0.00798537097350112,0.002952,0,,0.0,,0.0037815761609438815,0.9962184238390561,6611,243389,0.002952,0.0,1.0,0.0,4858,0.0,0.9428571428571428,0.05714285714285714,70,0.0,0.0,1347,0.0,0.06060606060606061,66
offroad_course,7,front_roi,0.1,0,False,4990,2398,4990.0,True,0,0.076141357421875,19.373473000001695,0.010113970609948519,0.08002162653748847,0.0050360990115522405,1331,92419,0.014401800495569094,0.005324,0,1.0,0.000605052185751021,0.0012093726379440665,0.0068068370896989866,0.99258811072455,6611,243389,0.005324,0.0,1.0,0.0,4858,0.05714285714285714,0.9,0.04285714285714286,70,0.0,0.0,1347,0.06060606060606061,0.045454545454545456,66
offroad_course,7,front_roi,0.2,0,False,7727,3715,7727.0,True,0,0.1179046630859375,21.973605999988877,0.011577364596214498,0.0877124221445181,0.004952074351877537,1680,92419,0.0181780802648806,0.00672,0,1.0,0.0013613674179397974,0.002719033232628399,0.008621993646952049,0.9900166389351082,6611,243389,0.00672,0.0,1.0,0.0,4858,0.12857142857142856,0.8428571428571429,0.02857142857142857,70,0.0,0.0,1347,0.13636363636363635,0.030303030303030304,66
offroad_course,7,raysense,0.02,0,False,1264,618,1264.0,True,0,0.019287109375,21.895352000001367,0.010771056821855224,0.09087469363651522,0.004639551101141337,481,92419,0.005204557504409266,0.001924,0,,0.0,,0.0013613674179397974,0.9986386325820602,6611,243389,0.001924,0.0,1.0,0.0,4858,0.0,1.0,0.0,70,0.0,0.0,1347,0.0,0.0,66
offroad_course,7,raysense,0.05,0,False,3192,1561,3192.0,True,0,0.0487060546875,26.942993999995224,0.011191694601473097,0.09275525895710099,0.005224625388437328,907,92419,0.009813999285861132,0.003628,0,,0.0,,0.0033277870216306157,0.9966722129783694,6611,243389,0.003628,0.0,1.0,0.0,4858,0.0,0.9571428571428572,0.04285714285714286,70,0.0,0.0,1347,0.0,0.045454545454545456,66
offroad_course,7,raysense,0.1,0,False,6368,3082,6368.0,True,0,0.09716796875,39.639584999974886,0.015139437172561014,0.10766968859641407,0.005120798523090369,1596,92419,0.01726917625163657,0.006384,0,1.0,0.00045378913931326575,0.0009071666162685213,0.007714415368325518,0.9918317954923612,6611,243389,0.006384,0.0,1.0,0.0,4858,0.04285714285714286,0.8857142857142857,0.07142857142857142,70,0.0,0.0,1347,0.045454545454545456,0.07575757575757576,66
offroad_course,7,raysense,0.2,0,False,12498,5942,12498.0,True,0,0.190704345703125,45.28598499999248,0.013091091460328736,0.09729241345314003,0.005035991661586026,2481,92419,0.02684512924831474,0.009924,0,1.0,0.0009075782786265315,0.0018135106543750944,0.010437150204205112,0.9886552715171684,6611,243389,0.009924,0.0,1.0,0.0,4858,0.08571428571428572,0.8142857142857143,0.1,70,0.0,0.0,1347,0.09090909090909091,0.09090909090909091,66
