scene,seed,allocator,fraction,frame,final,rays_fired,returns,rays_per_frame,ray_accounting,candidates_flagged,achieved_fraction,ms_per_frame,elev_mae,elev_rmse,elev_p95,n_compared,n_gt_cells,coverage_recall,coverage,n_extra,trav_precision,trav_recall,trav_f1,unsafe_rate,unknown_on_hazard,n_hazard_cells,n_free_cells,free_coverage,negative_detected,negative_unknown,negative_missed_unsafe,n_negative_cells,positive_detected,positive_unknown,positive_missed_unsafe,n_positive_cells
offroad_course,7,full,1.0,0,False,65536,31268,65536.0,True,13292,1.0,45.42817599985938,0.005668910326317293,0.059218571076596095,0.004600929704882153,6955,92419,0.07525508823943129,0.02782,0,0.09855660802886784,0.19830585387989713,0.1316727765781148,0.008319467554076539,0.7933746785660263,6611,243389,0.07984,0.23919308357348704,0.760806916426513,0.0,4858,0.2857142857142857,0.6428571428571429,0.07142857142857142,70
offroad_course,7,uniform,0.02,0,False,1280,640,1280.0,True,0,0.01953125,1.9929469999624416,0.002553682393007396,0.018040263030158453,0.004607095343417966,561,92419,0.006070180374165486,0.002244,0,,0.0,,0.0007563152321887763,0.9992436847678112,6611,243389,0.002244,0.0,1.0,0.0,4858,0.0,0.9714285714285714,0.02857142857142857,70
offroad_course,7,uniform,0.05,0,False,3280,1640,3280.0,True,0,0.050048828125,3.709591000188084,0.0021743944144370377,0.014825279452262094,0.004574044754251608,1158,92419,0.01252989103972127,0.004632,0,,0.0,,0.0010588413250642867,0.9989411586749357,6611,243389,0.004632,0.0,1.0,0.0,4858,0.0,0.9714285714285714,0.02857142857142857,70
offroad_course,7,uniform,0.1,0,False,5632,2697,5632.0,True,0,0.0859375,4.829238999946028,0.0015202528066632513,0.0021814306185084795,0.004504985146305373,1677,92419,0.01814561940726474,0.006708,0,,0.0,,0.0,1.0,6611,243389,0.006708,0.0,1.0,0.0,4858,0.0,1.0,0.0,70
offroad_course,7,uniform,0.2,0,False,10944,5312,10944.0,True,0,0.1669921875,8.543801000087115,0.002078541313497324,0.014237282629371769,0.0046502770133111,2725,92419,0.02948527900107121,0.0109,0,,0.0,,0.003932839207381637,0.9960671607926184,6611,243389,0.0109,0.0,1.0,0.0,4858,0.0,0.9428571428571428,0.05714285714285714,70
offroad_course,7,uniform,0.35,0,False,16384,7954,16384.0,True,0,0.25,8.88884899995901,0.002153969352944035,0.01583213640904733,0.00465299237627342,3132,92419,0.03388913535095597,0.012528,0,,0.0,,0.004689154439570413,0.9953108455604296,6611,243389,0.012528,0.0,1.0,0.0,4858,0.0,0.9285714285714286,0.07142857142857142,70
offroad_course,7,uniform,0.5,0,False,32768,15634,32768.0,True,7752,0.5,26.908510000112074,0.004169131356681828,0.047421596157151864,0.004466089537516066,5771,92419,0.062443869767039244,0.023084,0,0.08762886597938144,0.10285887157767358,0.09463502887760072,0.005899258811072455,0.891241869611254,6611,243389,0.053412,0.1239193083573487,0.8760806916426513,0.0,4858,0.18571428571428572,0.7857142857142857,0.02857142857142857,70
offroad_course,7,uniform,0.75,0,False,32768,15634,32768.0,True,7752,0.5,26.019770999937464,0.004169131356681828,0.047421596157151864,0.004466089537516066,5771,92419,0.062443869767039244,0.023084,0,0.08762886597938144,0.10285887157767358,0.09463502887760072,0.005899258811072455,0.891241869611254,6611,243389,0.053412,0.1239193083573487,0.8760806916426513,0.0,4858,0.18571428571428572,0.7857142857142857,0.02857142857142857,70
offroad_course,7,front_roi,0.02,0,False,1231,601,1231.0,True,0,0.0187835693359375,2.5924439999016613,0.0016172272269094731,0.0021455023745987306,0.004568265644385888,433,92419,0.004685183782555535,0.001732,0,,0.0,,0.0,1.0,6611,243389,0.001732,0.0,1.0,0.0,4858,0.0,1.0,0.0,70
offroad_course,7,front_roi,0.05,0,False,2512,1199,2512.0,True,0,0.038330078125,3.268602999924042,0.004070808773555472,0.026737109057139365,0.0047939814226735915,738,92419,0.00798537097350112,0.002952,0,,0.0,,0.0037815761609438815,0.9962184238390561,6611,243389,0.002952,0.0,1.0,0.0,4858,0.0,0.9428571428571428,0.05714285714285714,70
offroad_course,7,front_roi,0.1,0,False,4990,2398,4990.0,True,3414,0.076141357421875,10.752872000011848,0.010113970609948519,0.08002162653748847,0.0050360990115522405,1331,92419,0.014401800495569094,0.005324,0,0.14686951433586892,0.07593404931175314,0.10010968192242496,0.004537891393132658,0.9195280592951142,6611,243389,0.01874,0.0893371757925072,0.9106628242074928,0.0,4858,0.18571428571428572,0.8,0.014285714285714285,70
offroad_course,7,front_roi,0.2,0,False,7727,3715,7727.0,True,4767,0.1179046630859375,12.621354999964751,0.011577364596214498,0.0877124221445181,0.004952074351877537,1680,92419,0.0181780802648806,0.00672,0,0.1424083769633508,0.10285887157767358,0.11944493237308976,0.006201784903947965,0.8909393435183784,6611,243389,0.025452,0.1239193083573487,0.8760806916426513,0.0,4858,0.18571428571428572,0.7857142857142857,0.02857142857142857,70
offroad_course,7,front_roi,0.35,0,False,15652,7407,15652.0,True,8868,0.23883056640625,21.093669000038062,0.014121653797110613,0.09854648591002177,0.005336572349919181,2510,92419,0.02715891753860137,0.01004,0,0.14766839378238342,0.19830585387989713,0.1692814255277939,0.008319467554076539,0.7933746785660263,6611,243389,0.044876,0.23919308357348704,0.760806916426513,0.0,4858,0.2857142857142857,0.6428571428571429,0.07142857142857142,70
offroad_course,7,front_roi,0.5,0,False,17214,8163,17214.0,True,8868,0.262664794921875,21.189330999959566,0.013310259565789075,0.09538874104651067,0.005127144170090879,2679,92419,0.02898754585096138,0.010716,0,0.14766839378238342,0.19830585387989713,0.1692814255277939,0.008319467554076539,0.7933746785660263,6611,243389,0.045552,0.23919308357348704,0.760806916426513,0.0,4858,0.2857142857142857,0.6428571428571429,0.07142857142857142,70
