trim_m,rim_cells,negative_detected,negative_unknown,negative_missed_unsafe,candidate_precision,candidate_cells
0.0,-1,0.9135446685878963,0.08645533141210375,0.0,0.7937627622053091,5387
0.0,1,0.9121037463976945,0.08645533141210375,0.001440922190201729,0.8856897292651482,4654
0.0,2,0.9131329765335529,0.08645533141210375,0.0004116920543433512,0.845595646039105,4961
0.0,3,0.9133388225607246,0.08645533141210375,0.0002058460271716756,0.8235522736105714,5146
0.3,-1,0.916220666941128,0.08357348703170028,0.0002058460271716756,0.8254826254826255,5180
0.3,1,0.9149855907780979,0.08357348703170028,0.001440922190201729,0.9030634573304157,4570
0.3,2,0.9160148209139564,0.08357348703170028,0.0004116920543433512,0.8668455821635013,4844
0.3,3,0.916220666941128,0.08357348703170028,0.0002058460271716756,0.8477218225419664,5004
0.6,-1,0.9088102099629477,0.09098394400988061,0.0002058460271716756,0.8396548264097933,4983
0.6,1,0.9075751337999176,0.09098394400988061,0.001440922190201729,0.9069559382688437,4471
0.6,2,0.908604363935776,0.09098394400988061,0.0004116920543433512,0.8750265674814027,4705
0.6,3,0.9088102099629477,0.09098394400988061,0.0002058460271716756,0.8579099545642297,4842
