scene,seed,allocator,fraction,frame,final,rays_fired,returns,rays_per_frame,achieved_fraction,ms_per_frame,elev_mae,elev_rmse,elev_p95,n_compared,n_gt_cells,coverage_recall,coverage,n_extra,trav_precision,trav_recall,trav_f1,unsafe_rate,unknown_on_hazard,n_hazard_cells,n_free_cells,free_coverage,negative_detected,negative_unknown,negative_missed_unsafe,n_negative_cells,positive_detected,positive_unknown,positive_missed_unsafe,n_positive_cells
offroad_course,7,full,1.0,0,False,65536,31268,65536.0,1.0,18.805818000004138,0.005668910326317293,0.059218571076596095,0.004600929704882153,6955,92419,0.07525508823943129,0.02782,0,1.0,0.0019664196036908183,0.00392512077294686,0.013311148086522463,0.9847224323097867,6611,243389,0.02782,0.0,1.0,0.0,4858,0.18571428571428572,0.7285714285714285,0.08571428571428572,70
offroad_course,7,uniform,0.02,0,False,1280,640,1280.0,0.01953125,7.68093199999953,0.002553682393007396,0.018040263030158453,0.004607095343417966,561,92419,0.006070180374165486,0.002244,0,,0.0,,0.0007563152321887763,0.9992436847678112,6611,243389,0.002244,0.0,1.0,0.0,4858,0.0,0.9714285714285714,0.02857142857142857,70
offroad_course,7,uniform,0.05,0,False,3280,1640,3280.0,0.050048828125,20.10067599999843,0.0021743944144370377,0.014825279452262094,0.004574044754251608,1158,92419,0.01252989103972127,0.004632,0,,0.0,,0.0010588413250642867,0.9989411586749357,6611,243389,0.004632,0.0,1.0,0.0,4858,0.0,0.9714285714285714,0.02857142857142857,70
offroad_course,7,uniform,0.1,0,False,5632,2697,5632.0,0.0859375,18.560745000002044,0.0015202528066632513,0.0021814306185084795,0.004504985146305373,1677,92419,0.01814561940726474,0.006708,0,,0.0,,0.0,1.0,6611,243389,0.006708,0.0,1.0,0.0,4858,0.0,1.0,0.0,70
offroad_course,7,uniform,0.2,0,False,10944,5312,10944.0,0.1669921875,23.468275999988464,0.002078541313497324,0.014237282629371769,0.0046502770133111,2725,92419,0.02948527900107121,0.0109,0,,0.0,,0.003932839207381637,0.9960671607926184,6611,243389,0.0109,0.0,1.0,0.0,4858,0.0,0.9428571428571428,0.05714285714285714,70
offroad_course,7,uniform,0.35,0,False,16384,7954,16384.0,0.25,28.409656000008,0.002153969352944035,0.01583213640904733,0.00465299237627342,3132,92419,0.03388913535095597,0.012528,0,,0.0,,0.004689154439570413,0.9953108455604296,6611,243389,0.012528,0.0,1.0,0.0,4858,0.0,0.9285714285714286,0.07142857142857142,70
offroad_course,7,uniform,0.5,0,False,32768,15634,32768.0,0.5,47.60871799999222,0.004169131356681828,0.047421596157151864,0.004466089537516066,5771,92419,0.062443869767039244,0.023084,0,1.0,0.0013613674179397974,0.002719033232628399,0.008319467554076539,0.9903191650279837,6611,243389,0.023084,0.0,1.0,0.0,4858,0.12857142857142856,0.8428571428571429,0.02857142857142857,70
offroad_course,7,uniform,0.75,0,False,32768,15634,32768.0,0.5,39.35428899998783,0.004169131356681828,0.047421596157151864,0.004466089537516066,5771,92419,0.062443869767039244,0.023084,0,1.0,0.0013613674179397974,0.002719033232628399,0.008319467554076539,0.9903191650279837,6611,243389,0.023084,0.0,1.0,0.0,4858,0.12857142857142856,0.8428571428571429,0.02857142857142857,70
offroad_course,7,random,0.02,0,False,1311,626,1311.0,0.0200042724609375,15.99900600001547,0.0041581991139285155,0.04004590457159565,0.0049883978872908704,570,92419,0.00616756294701306,0.00228,0,1.0,0.00015126304643775526,0.00030248033877797946,0.0007563152321887763,0.9990924217213735,6611,243389,0.00228,0.0,1.0,0.0,4858,0.014285714285714285,0.9714285714285714,0.014285714285714285,70
offroad_course,7,random,0.05,0,False,3277,1551,3277.0,0.0500030517578125,17.970829999995885,0.003177638435345917,0.02971387632124883,0.004681594776832755,1251,92419,0.013536177625812874,0.005004,0,1.0,0.00015126304643775526,0.00030248033877797946,0.0010588413250642867,0.998789895628498,6611,243389,0.005004,0.0,1.0,0.0,4858,0.014285714285714285,0.9571428571428572,0.02857142857142857,70
offroad_course,7,random,0.1,0,False,6554,3145,6554.0,0.100006103515625,21.975439999977198,0.0034121506999999695,0.036356765896722064,0.0045498677192246754,2125,92419,0.022993107477899566,0.0085,0,1.0,0.00015126304643775526,0.00030248033877797946,0.0015126304643775525,0.9983361064891847,6611,243389,0.0085,0.0,1.0,0.0,4858,0.014285714285714285,0.9571428571428572,0.02857142857142857,70
offroad_course,7,random,0.2,0,False,13107,6313,13107.0,0.1999969482421875,31.080137999992985,0.0035552500538301407,0.039445153156005094,0.004508720440334496,3297,92419,0.035674482519828174,0.013188,0,1.0,0.0003025260928755105,0.0006048691970361409,0.002722734835879595,0.9969747390712449,6611,243389,0.013188,0.0,1.0,0.0,4858,0.02857142857142857,0.9428571428571428,0.02857142857142857,70
offroad_course,7,random,0.35,0,False,22938,10963,22938.0,0.350006103515625,33.52545299998155,0.004472118125218439,0.048927113000484614,0.0044512393074012885,4468,92419,0.04834503727588483,0.017872,0,1.0,0.0003025260928755105,0.0006048691970361409,0.00605052185751021,0.9936469520496143,6611,243389,0.017872,0.0,1.0,0.0,4858,0.02857142857142857,0.9428571428571428,0.02857142857142857,70
offroad_course,7,random,0.5,0,False,32768,15586,32768.0,0.5,37.16222899998911,0.004883279885774839,0.05235160313803566,0.00450204649477948,5308,92419,0.05743407740832513,0.021232,0,1.0,0.00045378913931326575,0.0009071666162685213,0.008319467554076539,0.9912267433066102,6611,243389,0.021232,0.0,1.0,0.0,4858,0.04285714285714286,0.9,0.05714285714285714,70
offroad_course,7,random,0.75,0,False,49152,23338,49152.0,0.75,43.93157900000233,0.004959181350834012,0.05353357823650465,0.00450640664785773,6261,92419,0.06774580984429608,0.025044,0,1.0,0.0009075782786265315,0.0018135106543750944,0.010588413250642867,0.9885040084707306,6611,243389,0.025044,0.0,1.0,0.0,4858,0.08571428571428572,0.8428571428571429,0.07142857142857142,70
offroad_course,7,front_roi,0.02,0,False,1231,601,1231.0,0.0187835693359375,11.917692999986684,0.0016172272269094731,0.0021455023745987306,0.004568265644385888,433,92419,0.004685183782555535,0.001732,0,,0.0,,0.0,1.0,6611,243389,0.001732,0.0,1.0,0.0,4858,0.0,1.0,0.0,70
offroad_course,7,front_roi,0.05,0,False,2512,1199,2512.0,0.038330078125,12.198829999988448,0.004070808773555472,0.026737109057139365,0.0047939814226735915,738,92419,0.00798537097350112,0.002952,0,,0.0,,0.0037815761609438815,0.9962184238390561,6611,243389,0.002952,0.0,1.0,0.0,4858,0.0,0.9428571428571428,0.05714285714285714,70
offroad_course,7,front_roi,0.1,0,False,4990,2398,4990.0,0.076141357421875,15.651310999999168,0.010113970609948519,0.08002162653748847,0.0050360990115522405,1331,92419,0.014401800495569094,0.005324,0,1.0,0.000605052185751021,0.0012093726379440665,0.0068068370896989866,0.99258811072455,6611,243389,0.005324,0.0,1.0,0.0,4858,0.05714285714285714,0.9,0.04285714285714286,70
offroad_course,7,front_roi,0.2,0,False,7727,3715,7727.0,0.1179046630859375,19.53108399999337,0.011577364596214498,0.0877124221445181,0.004952074351877537,1680,92419,0.0181780802648806,0.00672,0,1.0,0.0013613674179397974,0.002719033232628399,0.008621993646952049,0.9900166389351082,6611,243389,0.00672,0.0,1.0,0.0,4858,0.12857142857142856,0.8428571428571429,0.02857142857142857,70
offroad_course,7,front_roi,0.35,0,False,15652,7407,15652.0,0.23883056640625,27.51686599998493,0.014121653797110613,0.09854648591002177,0.005336572349919181,2510,92419,0.02715891753860137,0.01004,0,1.0,0.0019664196036908183,0.00392512077294686,0.013311148086522463,0.9847224323097867,6611,243389,0.01004,0.0,1.0,0.0,4858,0.18571428571428572,0.7285714285714285,0.08571428571428572,70
