control,is_ditch,ratio,measured,predicted,dz,rise_before,horiz_near,have_prev
0,1,3.1987467564559013,4.290762076737683,1.34138848850032,-0.7314571897196809,-0.00815166354128774,6.201728042789218,1.0
0,1,3.226836108365499,4.330953096283397,1.3421670487247557,-0.7412316472011116,-0.008768089177130936,6.205327610564157,1.0
0,1,3.263629175342956,4.382414482653796,1.3428040525447482,-0.7538363101633845,-0.009074365842907967,6.208272711470928,1.0
0,1,3.307795495887354,4.44382827523344,1.3434410563647414,-0.7689092121801433,-0.009606148279866396,6.211217812377696,1.0
0,1,3.3604854740185073,4.516516948077329,1.3440072819825124,-0.7867958857348656,-0.010039475440503619,6.213835679850381,1.0
0,1,3.4204263222762883,4.599498800883211,1.3447150640047267,-0.8072002050934677,-0.010663350252867698,6.217108014191238,1.0
0,1,3.4861279555513165,4.69179664678838,1.3458475152402696,-0.8298096105789838,-0.01196763424393457,6.2223437491366065,1.0
0,1,3.5571467165995827,4.793419512671961,1.3475461920935834,-0.8545912343056603,-0.013901691352311113,6.230197351554657,1.0
0,1,3.638442606923215,4.908634973495714,1.3491033125424547,-0.8827789859592237,-0.015297665396877215,6.237396487104539,1.0
0,1,3.129558827165295,6.5848667435403065,2.1040878626029134,-0.8767736775017962,-0.036824415992803436,7.86770885527697,1.0
0,1,3.321628259048869,6.99076587674774,2.104620183701565,-0.956093581481402,-0.03697929560326212,7.869699336518818,1.0
0,1,3.534364876729823,7.437554947634369,2.1043540231522386,-1.0435708415131482,-0.03690188824447651,7.868704095897892,1.0
0,1,3.4603574734538585,3.3042363064955875,0.9548829367613159,-0.7086724834834364,-0.01706905825766136,5.210377648410251,1.0
0,1,3.502272232811114,3.345499681150959,0.9552369030050183,-0.7210126330881828,-0.017108111307823543,5.212309087054169,1.0
0,1,3.5536156572256945,3.395593031533207,0.9555318748747703,-0.7360341028374915,-0.01683479537999515,5.213918619257437,1.0
0,1,3.6147309019731533,3.454843591076421,0.9557678523705719,-0.7538356013093905,-0.016582572743965875,5.215206245020046,1.0
0,1,3.6852797311591656,3.5229241263465108,0.9559448354924234,-0.7743184199258517,-0.01635146176748916,5.2161719643420055,1.0
0,1,3.7659545093938327,3.6004891042116522,0.9560628242403242,-0.797679975842932,-0.015973975371854625,5.216815777223312,1.0
0,1,3.8563016831844203,3.6875491786587027,0.9562398073621754,-0.8238878919850283,-0.015742340685513157,5.217781496545271,1.0
0,1,3.9524750074454778,3.781845677609665,0.9568297511016794,-0.85215407707914,-0.016533438323781745,5.221000560951802,1.0
0,1,4.055120043105388,3.8843656283602233,0.9578916498327871,-0.8827584683215468,-0.018311086827673847,5.226794876883558,1.0
0,1,4.17032439797953,3.9986553287509983,0.9588355598159933,-0.9169487454485721,-0.019291278389679815,5.231945379934005,1.0
0,1,4.298857752565494,4.125701806077675,0.9597204754252494,-0.9550048456564972,-0.01963130246144894,5.236773976543802,1.0
0,1,4.440974158736569,4.265499733346827,0.9604874022866047,-0.9969429574831241,-0.019848690920738578,5.2409587602722905,1.0
0,1,4.596204189478422,4.418392324972831,0.9613133235219106,-1.0428132238930774,-0.02020767657998789,5.245465450441434,1.0
0,1,5.027677360495796,4.83732569851038,0.9621392447572163,-1.1689335642399523,-0.021052893481333802,5.249972140610577,1.0
0,1,5.310869172829369,5.113242080372251,0.9627881828706708,-1.2519668216019098,-0.021470824521999405,5.25351311145776,1.0
0,1,5.522678181741555,5.3201015536552045,0.9633191322362245,-1.3142049460755194,-0.021929091002596983,5.256410269423638,1.0
0,1,3.3392609800922535,4.57118517858356,1.3689212091644518,-0.7941750794655118,-0.030049120409294156,6.329021848648493,1.0
0,1,3.515088915864689,4.817104394182431,1.3704075514111014,-0.8547954713108781,-0.03129515917729114,6.3358937507642885,1.0
0,1,3.705502414312488,5.084605210326205,1.3721770064666368,-0.9206979786694498,-0.03314350316297047,6.344074586616428,1.0
0,1,3.914172778067642,5.3773097619876165,1.3738049051177295,-0.9928862261851461,-0.035091315786485,6.351600955600395,1.0
0,1,4.1436905244640165,5.698194744150309,1.3751496909599366,-1.072133553460068,-0.036413685004159146,6.35781839084802,1.0
0,1,4.396305710716904,6.0502458786770585,1.3762113639932578,-1.1591804322105619,-0.037221893015808784,6.362726892359303,1.0
0,1,4.675730689772067,6.438103108359288,1.376919146015472,-1.255195141271601,-0.037912975443641556,6.3659992267001595,1.0
0,1,4.985764677622516,6.866406375988425,1.3772022588243578,-1.361345959478157,-0.037946623731279217,6.367308160436502,1.0
0,1,3.2664766843964372,6.981050243879657,2.1371804909024106,-0.9478212626660787,-0.03860834392222103,7.991450439145171,1.0
0,1,3.5577976034434213,7.595133120377928,2.1347850459584783,-1.06845028260958,-0.038248812721343825,7.982493273556856,1.0
0,1,3.4954813829254237,7.452797792245085,2.1321234404652216,-1.0411197120317572,-0.03807776786536274,7.972540867347617,1.0
0,1,6.821664761725089,4.953729762379779,0.726176078040965,-1.5089282598940972,0.0,4.524483476208595,0.0
0,1,7.229755676701071,5.248243519059498,0.725922666511777,-1.6141386353050815,0.0,4.52290458052315,0.0
0,1,7.677252510533693,5.570757008772467,0.7256185726767517,-1.7293609626786672,0.0,4.521009905700619,0.0
0,1,8.167730949268522,5.9241735167881355,0.7253144788417262,-1.8556134131718487,0.0,4.519115230878084,0.0
0,1,8.70612910447529,6.312034013953671,0.7250103850067006,-1.9941598550587443,0.0,4.51722055605555,0.0
0,1,9.295073775012156,6.7385539205153995,0.7249597027008629,-2.1464144364178006,0.0,4.516904776918461,0.0
0,1,6.694703718521507,6.543924141822599,0.9774777819843226,-1.6790949445166297,-0.040407281584481244,5.333667815180368,1.0
0,1,7.249045331997694,7.084497793951616,0.9773007988624715,-1.8422100810326074,-0.04032211186836334,5.33270209585841,1.0
