scene,seed,allocator,fraction,frame,final,rays_fired,returns,rays_per_frame,ray_accounting,candidates_flagged,achieved_fraction,ms_per_frame,elev_mae,elev_rmse,elev_p95,n_compared,n_gt_cells,coverage_recall,coverage,n_extra,trav_precision,trav_recall,trav_f1,unsafe_rate,unknown_on_hazard,n_hazard_cells,n_free_cells,free_coverage,negative_detected,negative_unknown,negative_missed_unsafe,n_negative_cells,positive_detected,positive_unknown,positive_missed_unsafe,n_positive_cells
offroad_course,7,full,1.0,0,False,65536,31268,65536.0,True,271,1.0,613.6205550000113,0.005668910326317293,0.059218571076596095,0.004600929704882153,6955,92419,0.07525508823943129,0.02782,0,0.3028169014084507,0.013008621993646953,0.02494561276287165,0.013311148086522463,0.9736802299198306,6611,243389,0.028904,0.013791683820502264,0.9862083161794978,0.0,4858,0.18571428571428572,0.7285714285714285,0.08571428571428572,70
offroad_course,7,uniform,0.02,0,False,1280,640,1280.0,True,0,0.01953125,50.02420099998517,0.002553682393007396,0.018040263030158453,0.004607095343417966,561,92419,0.006070180374165486,0.002244,0,,0.0,,0.0007563152321887763,0.9992436847678112,6611,243389,0.002244,0.0,1.0,0.0,4858,0.0,0.9714285714285714,0.02857142857142857,70
offroad_course,7,uniform,0.05,0,False,3280,1640,3280.0,True,0,0.050048828125,147.23749600000247,0.0021743944144370377,0.014825279452262094,0.004574044754251608,1158,92419,0.01252989103972127,0.004632,0,,0.0,,0.0010588413250642867,0.9989411586749357,6611,243389,0.004632,0.0,1.0,0.0,4858,0.0,0.9714285714285714,0.02857142857142857,70
offroad_course,7,uniform,0.1,0,False,5632,2697,5632.0,True,68,0.0859375,131.47344400005068,0.0015202528066632513,0.0021814306185084795,0.004504985146305373,1677,92419,0.01814561940726474,0.006708,0,0.27941176470588236,0.00287399788231735,0.005689474472226381,0.0,0.9971260021176827,6611,243389,0.00698,0.003499382461918485,0.9965006175380815,0.0,4858,0.0,1.0,0.0,70
offroad_course,7,uniform,0.2,0,False,10944,5312,10944.0,True,92,0.1669921875,213.56035999997403,0.002078541313497324,0.014237282629371769,0.0046502770133111,2725,92419,0.02948527900107121,0.0109,0,0.2717391304347826,0.0037815761609438815,0.007459346561241235,0.003932839207381637,0.9922855846316745,6611,243389,0.011268,0.004734458624948539,0.9952655413750514,0.0,4858,0.0,0.9428571428571428,0.05714285714285714,70
offroad_course,7,uniform,0.35,0,False,16384,7954,16384.0,True,136,0.25,244.24037299996826,0.002153969352944035,0.01583213640904733,0.00465299237627342,3132,92419,0.03388913535095597,0.012528,0,0.27205882352941174,0.005596732718196945,0.010967837557432933,0.004689154439570413,0.9897141128422327,6611,243389,0.013072,0.006792918896665294,0.9932070811033347,0.0,4858,0.0,0.9285714285714286,0.07142857142857142,70
offroad_course,7,uniform,0.5,0,False,32768,15634,32768.0,True,136,0.5,377.03514600002563,0.004169131356681828,0.047421596157151864,0.004466089537516066,5771,92419,0.062443869767039244,0.023084,0,0.31724137931034485,0.006958100136136742,0.013617525162818236,0.008319467554076539,0.9847224323097867,6611,243389,0.023628,0.006792918896665294,0.9932070811033347,0.0,4858,0.12857142857142856,0.8428571428571429,0.02857142857142857,70
offroad_course,7,uniform,0.75,0,False,32768,15634,32768.0,True,136,0.5,334.1394779999973,0.004169131356681828,0.047421596157151864,0.004466089537516066,5771,92419,0.062443869767039244,0.023084,0,0.31724137931034485,0.006958100136136742,0.013617525162818236,0.008319467554076539,0.9847224323097867,6611,243389,0.023628,0.006792918896665294,0.9932070811033347,0.0,4858,0.12857142857142856,0.8428571428571429,0.02857142857142857,70
offroad_course,7,front_roi,0.02,0,False,1231,601,1231.0,True,43,0.0187835693359375,110.69324100003541,0.0016172272269094731,0.0021455023745987306,0.004568265644385888,433,92419,0.004685183782555535,0.001732,0,0.4418604651162791,0.00287399788231735,0.005710850616170725,0.0,0.9971260021176827,6611,243389,0.001904,0.003499382461918485,0.9965006175380815,0.0,4858,0.0,1.0,0.0,70
offroad_course,7,front_roi,0.05,0,False,2512,1199,2512.0,True,57,0.038330078125,143.4294789999626,0.004070808773555472,0.026737109057139365,0.0047939814226735915,738,92419,0.00798537097350112,0.002952,0,0.43859649122807015,0.0037815761609438815,0.007498500299940012,0.0037815761609438815,0.9924368476781122,6611,243389,0.00318,0.004734458624948539,0.9952655413750514,0.0,4858,0.0,0.9428571428571428,0.05714285714285714,70
