scene,seed,allocator,fraction,frame,final,rays_fired,returns,rays_per_frame,ray_accounting,candidates_flagged,achieved_fraction,ms_per_frame,elev_mae,elev_rmse,elev_p95,n_compared,n_gt_cells,coverage_recall,coverage,n_extra,trav_precision,trav_recall,trav_f1,unsafe_rate,unknown_on_hazard,n_hazard_cells,n_free_cells,free_coverage,negative_detected,negative_unknown,negative_missed_unsafe,n_negative_cells,positive_detected,positive_unknown,positive_missed_unsafe,n_positive_cells,corridor_negative_detected,corridor_negative_missed_unsafe,n_corridor_negative,corridor_positive_detected,corridor_positive_missed_unsafe,n_corridor_positive
offroad_course,7,uniform,0.02,0,False,1280,640,1280.0,True,0,0.01953125,1.3826499998685904,0.002553682393007396,0.018040263030158453,0.004607095343417966,561,92419,0.006070180374165486,0.002244,0,,0.0,,0.0007563152321887763,0.9992436847678112,6611,243389,0.002244,0.0,1.0,0.0,4858,0.0,0.9714285714285714,0.02857142857142857,70,0.0,0.0,1347,0.0,0.030303030303030304,66
offroad_course,7,uniform,0.05,0,False,3280,1640,3280.0,True,0,0.050048828125,3.6483530000168685,0.0021743944144370377,0.014825279452262094,0.004574044754251608,1158,92419,0.01252989103972127,0.004632,0,,0.0,,0.0010588413250642867,0.9989411586749357,6611,243389,0.004632,0.0,1.0,0.0,4858,0.0,0.9714285714285714,0.02857142857142857,70,0.0,0.0,1347,0.0,0.030303030303030304,66
offroad_course,7,uniform,0.1,0,False,5632,2697,5632.0,True,0,0.0859375,4.401706999942689,0.0015202528066632513,0.0021814306185084795,0.004504985146305373,1677,92419,0.01814561940726474,0.006708,0,,0.0,,0.0,1.0,6611,243389,0.006708,0.0,1.0,0.0,4858,0.0,1.0,0.0,70,0.0,0.0,1347,0.0,0.0,66
offroad_course,7,uniform,0.2,0,False,10944,5312,10944.0,True,0,0.1669921875,6.209229999967647,0.002078541313497324,0.014237282629371769,0.0046502770133111,2725,92419,0.02948527900107121,0.0109,0,,0.0,,0.003932839207381637,0.9960671607926184,6611,243389,0.0109,0.0,1.0,0.0,4858,0.0,0.9428571428571428,0.05714285714285714,70,0.0,0.0,1347,0.0,0.06060606060606061,66
offroad_course,7,front_roi,0.02,0,False,1231,601,1231.0,True,0,0.0187835693359375,2.5556350001352257,0.0016172272269094731,0.0021455023745987306,0.004568265644385888,433,92419,0.004685183782555535,0.001732,0,,0.0,,0.0,1.0,6611,243389,0.001732,0.0,1.0,0.0,4858,0.0,1.0,0.0,70,0.0,0.0,1347,0.0,0.0,66
offroad_course,7,front_roi,0.05,0,False,2512,1199,2512.0,True,0,0.038330078125,2.8294010000990966,0.004070808773555472,0.026737109057139365,0.0047939814226735915,738,92419,0.00798537097350112,0.002952,0,,0.0,,0.0037815761609438815,0.9962184238390561,6611,243389,0.002952,0.0,1.0,0.0,4858,0.0,0.9428571428571428,0.05714285714285714,70,0.0,0.0,1347,0.0,0.06060606060606061,66
offroad_course,7,front_roi,0.1,0,False,4990,2398,4990.0,True,3414,0.076141357421875,9.15693799993278,0.010113970609948519,0.08002162653748847,0.0050360990115522405,1331,92419,0.014401800495569094,0.005324,0,0.14686951433586892,0.07593404931175314,0.10010968192242496,0.004537891393132658,0.9195280592951142,6611,243389,0.01874,0.0893371757925072,0.9106628242074928,0.0,4858,0.18571428571428572,0.8,0.014285714285714285,70,0.04825538233110616,0.0,1347,0.15151515151515152,0.015151515151515152,66
offroad_course,7,front_roi,0.2,0,False,7727,3715,7727.0,True,4767,0.1179046630859375,11.652880000156074,0.011577364596214498,0.0877124221445181,0.004952074351877537,1680,92419,0.0181780802648806,0.00672,0,0.1424083769633508,0.10285887157767358,0.11944493237308976,0.006201784903947965,0.8909393435183784,6611,243389,0.025452,0.1239193083573487,0.8760806916426513,0.0,4858,0.18571428571428572,0.7857142857142857,0.02857142857142857,70,0.06533036377134373,0.0,1347,0.15151515151515152,0.030303030303030304,66
offroad_course,7,raysense,0.02,0,False,1264,618,1264.0,True,561,0.019287109375,11.807919000148104,0.010771056821855224,0.09087469363651522,0.004639551101141337,481,92419,0.005204557504409266,0.001924,0,0.39750445632798576,0.03373165935561942,0.062186279977691016,0.0003025260928755105,0.9659658145515051,6611,243389,0.004128,0.041375051461506794,0.9586249485384932,0.0,4858,0.0,1.0,0.0,70,0.0334075723830735,0.0,1347,0.0,0.0,66
offroad_course,7,raysense,0.05,0,False,3192,1561,3192.0,True,1148,0.0487060546875,12.631928000018888,0.011191694601473097,0.09275525895710099,0.005224625388437328,907,92419,0.009813999285861132,0.003628,0,0.3475609756097561,0.06035395552866435,0.10284830519396829,0.0016638935108153079,0.9379821509605204,6611,243389,0.008136,0.07431041580897489,0.9256895841910251,0.0,4858,0.0,0.9571428571428572,0.04285714285714286,70,0.07646622123236822,0.0,1347,0.0,0.045454545454545456,66
offroad_course,7,raysense,0.1,0,False,6368,3082,6368.0,True,2932,0.09716796875,16.349760999901264,0.015139437172561014,0.10766968859641407,0.005120798523090369,1596,92419,0.01726917625163657,0.006384,0,0.33492333901192506,0.14869157464831342,0.20595013618269437,0.004084102253819392,0.8472243230978672,6611,243389,0.0179,0.1829971181556196,0.8170028818443804,0.0,4858,0.04285714285714286,0.8857142857142857,0.07142857142857142,70,0.11655530809205643,0.0,1347,0.045454545454545456,0.07575757575757576,66
offroad_course,7,raysense,0.2,0,False,12498,5942,12498.0,True,5053,0.190704345703125,21.861749999970925,0.013091091460328736,0.09729241345314003,0.005035991661586026,2481,92419,0.02684512924831474,0.009924,0,0.25795611780984384,0.1973982756012706,0.2236503856041131,0.005294206625321434,0.7973075177734079,6611,243389,0.029772,0.23919308357348704,0.760806916426513,0.0,4858,0.18571428571428572,0.7428571428571429,0.07142857142857142,70,0.11507052709725316,0.0,1347,0.16666666666666666,0.07575757575757576,66
offroad_course,7,uniform,0.02,5,False,7680,3840,1280.0,True,0,0.01953125,1.0884233333854354,0.0025668293296505565,0.018971425088042268,0.00463960166565107,2732,92419,0.029561021002174878,0.010928,0,1.0,0.0007563152321887763,0.0015114873035066505,0.004386628346694902,0.9948570564211163,6611,243389,0.010928,0.0,0.9987649238369699,0.0012350761630300535,4858,0.07142857142857142,0.9,0.02857142857142857,70,0.0,0.003711952487008166,1347,0.07575757575757576,0.030303030303030304,66
offroad_course,7,uniform,0.05,5,False,19680,9840,3280.0,True,0,0.050048828125,2.212047333349195,0.0038178214023078787,0.035804811991220174,0.0045873067299428095,5162,92419,0.055854315671020026,0.020648,0,1.0,0.0015126304643775525,0.0030206917384080953,0.011949780668582665,0.9865375888670398,6611,243389,0.020648,0.0,0.9975298476739399,0.002470152326060107,4858,0.1,0.9,0.0,70,0.0,0.005196733481811433,1347,0.10606060606060606,0.0,66
offroad_course,7,uniform,0.1,5,False,33792,16203,5632.0,True,201,0.0859375,3.275075166698116,0.003681029460898918,0.03286407496298661,0.004451144795563317,6893,92419,0.07458423051537022,0.027572,0,0.7407407407407407,0.02420208743004084,0.046872711293393876,0.009983361064891847,0.9658145515050673,6611,243389,0.028192,0.017908604363935775,0.9816797035817209,0.0004116920543433512,4858,0.08571428571428572,0.8857142857142857,0.02857142857142857,70,0.0645879732739421,0.0,1347,0.07575757575757576,0.030303030303030304,66
offroad_course,7,uniform,0.2,5,False,65664,31901,10944.0,True,2099,0.1669921875,5.801881166613991,0.002930201387884334,0.029000988626543874,0.004204386123939402,10552,92419,0.11417565652084528,0.042208,0,0.17140105922002888,0.05384964453184087,0.08195211786372007,0.010437150204205112,0.935713205263954,6611,243389,0.049572,0.041375051461506794,0.9551255660765747,0.003499382461918485,4858,0.17142857142857143,0.8285714285714286,0.0,70,0.13808463251670378,0.008908685968819599,1347,0.16666666666666666,0.0,66
offroad_course,7,front_roi,0.02,5,False,7386,3634,1231.0,True,201,0.0187835693359375,1.5745304999654763,0.008023460635879848,0.052384919172665946,0.005310290918846078,2106,92419,0.022787522046332463,0.008424,0,0.7383177570093458,0.02389956133716533,0.046300366300366304,0.007865678414763273,0.9682347602480714,6611,243389,0.009044,0.017908604363935775,0.9820913956360642,0.0,4858,0.08571428571428572,0.8857142857142857,0.02857142857142857,70,0.0645879732739421,0.0,1347,0.07575757575757576,0.030303030303030304,66
offroad_course,7,front_roi,0.05,5,False,15072,7230,2512.0,True,700,0.038330078125,2.3990685000399026,0.0059111925052918735,0.044550402091887396,0.005255004988393564,3328,92419,0.03600991138185871,0.013312,0,0.32447552447552447,0.035093026773559216,0.06333606333606333,0.011042202389956134,0.9538647708364847,6611,243389,0.015708,0.02655413750514615,0.970152326060107,0.0032935364347468094,4858,0.17142857142857143,0.8285714285714286,0.0,70,0.0957683741648107,0.009651076466221232,1347,0.16666666666666666,0.0,66
offroad_course,7,front_roi,0.1,5,False,29940,14419,4990.0,True,11793,0.076141357421875,8.324297333350236,0.018966731311376207,0.1247333550766837,0.006087546479249757,5295,92419,0.057293413691989745,0.02118,0,0.1592503022974607,0.19921343215852366,0.17700423358645254,0.02238693087278778,0.7783996369686885,6611,243389,0.052492,0.2050226430629889,0.7918896665294359,0.003087690407575134,4858,0.6285714285714286,0.37142857142857144,0.0,70,0.32219747587230885,0.005939123979213066,1347,0.6060606060606061,0.0,66
